TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.1462971,404198.7,330603.8,317372.6,202577.8,871.5614,1448.16,18432.04,18562.88,63.59422,462.56
0.1474057,317182,301926.3,159997.4,102881,899.8604,1634.08,257.4743,350.56,259.7486,609.28
0.1533143,213245.2,175549.9,263847.3,156877.3,551.9441,1170.4,234.9477,333.76,400.8212,663.04
0.1534971,270655,193075.7,323368.7,206914.4,1324.345,2105.6,405.7056,464.8,240.1895,616
0.1541029,240517.5,212386.7,146836.9,100365.4,830.7537,1481.76,193.7609,343.84,195.093,362.88
0.1565143,421986.9,244231.7,482429.8,257362.6,1271.592,2189.6,2801.719,2257.92,283.9322,428.96
0.1590857,473773.1,284175.4,521305,272204.8,1279.335,1908.48,860.049,736.96,224.2584,470.4
0.1598857,397575.3,270777.9,449771.9,233188.5,-245.8644,1173.76,356.7103,416.64,437.1669,740.32
0.1605029,379845.4,264861,390289.2,231840,417.153,971.04,382.5942,526.4,191.1184,462.56
0.1610057,322266.3,230438.9,296111.4,203875.8,1220.821,1928.64,460.2783,479.36,248.7561,375.2
0.1626629,330944,270598.7,285844,187626.9,1162.511,1596,17105.92,16378.88,162.4187,390.88
0.1644571,626608.8,535276,410289.7,245789.6,350.3964,1535.52,20046.21,18222.4,173.0105,591.36
0.1647086,460247,251931.7,511174.4,233061.9,488.3282,1348.48,26571.34,17486.56,684.775,747.04
0.1657029,248970.6,181079.4,288118.3,189797.4,947.2961,1338.4,273.5786,465.92,273.0046,647.36
0.1694286,310199,272807.4,265612.7,176148,380.7964,1552.32,457.4084,534.24,468.076,812
0.1715543,334089.5,241831.5,429971,287412.2,1490.262,1631.84,412.6909,558.88,175.8805,529.76
0.1747429,292385.9,268255.7,182029,125606.9,614.4012,1134.56,217.7712,288.96,256.7703,590.24
0.1801943,307907.4,265751.4,298230.6,207504.6,1516.048,1976.8,18170.76,17839.36,455.0257,984.48
0.1805714,523943.7,361474.4,591808.7,347494.6,368.9374,1898.4,536.6087,591.36,-49.6884,579.04
0.1810057,185910.4,176760.6,164069.8,136314.1,-389.7529,1252.16,303.0906,365.12,151.8052,435.68
0.18176,362807.8,272933.9,347558.3,178102.4,580.0698,1932,368.8616,301.28,400.8537,588
0.1830286,411146.8,370501.6,304572.2,200648,902.8928,2772,24749.83,23495.36,391.4532,525.28
0.1836457,385581.8,271858.7,315284.2,174397.4,189.5047,1756.16,192.6563,272.16,647.682,644
0.1845029,254752.3,234180.8,238647.7,153092.8,616.2314,1600.48,356.7211,646.24,404.4709,743.68
0.1851429,280425.2,278560.8,172064.5,120347.4,78.05238,1003.52,143.8451,277.76,267.7628,451.36
0.1856,214384.5,177003.7,224380.2,175908.3,462.8992,1083.04,1841.438,1837.92,359.3203,551.04
0.1869714,372133.8,321505,299587.1,183216.3,1063.308,1369.76,15614.72,15823.36,483.563,669.76
0.1872,551858.6,440449,467457.6,268823.5,1885.809,2302.72,38082.73,34276.48,588.9396,591.36
0.1878743,436578.1,384586.7,429996.9,305947,267.687,1732.64,21409.25,20637.12,484.8518,760.48
0.1881371,517516.6,333240.3,565059,255055.4,632.0759,1743.84,335.0068,661.92,456.5744,590.24
