TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.06757715,575226.4,354402.7,550311.7,233177.3,118840.6,79049.6,12567.74,8518.72,7213.092,8090.88
0.06844571,386033.6,257389.4,557162.4,292700.8,29750.67,22123.36,3428.424,2543.52,4551.708,6292.16
0.07099429,480528.2,305181,476127.8,217863.5,84896.85,70530.88,9126.475,7286.72,5878.144,6373.92
0.07314286,481913.7,305489,410132.4,194399.5,84849.33,58450.56,8167.005,5904.64,6099.153,8934.24
0.07333715,369353.8,250798.2,356903.7,244111.8,48219.17,44813.44,4926.928,4549.44,3678.837,3674.72
0.07426286,345751.9,246602.7,275717.1,173736.6,1664.247,2418.08,405.7489,478.24,1575.094,2894.08
0.07442286,474387.8,312243.7,355684.2,192929,78873.11,66784.48,8031.846,7224,3183.177,3977.12
0.07452571,467438.1,305951.5,563400.3,352480.8,3397.439,3245.76,987.0641,941.92,2807.2,3356.64
0.07718857,398927.2,277904.5,241252,139081.6,53684.21,47277.44,5984.658,5518.24,5201.806,5691.84
0.07894857,415905.6,346222.3,375755.1,244286.6,1101.516,1065.12,761.0513,888.16,4566.232,6440
0.08003429,610259.4,345849.3,505413.6,212355.4,103144,73641.12,11408.1,8245.44,4613.678,6012.16
0.08197714,628448.8,377789.4,594382.6,238100.8,208813.1,141517.6,20714.5,13863.36,6573.435,6347.04
0.08229715,406599.8,273812,310647.8,159780.3,63016.79,50024.8,6699.162,5529.44,5343.994,6795.04
0.08252572,262318.5,250569.8,200735.4,167521.8,3695.721,3925.6,672.4396,851.2,1790.818,3648.96
0.08274285,287943,233937.8,241871.5,164074.4,73157.77,72404.64,7065.25,7445.76,4684.626,5398.4
0.08288,368394.1,238418.9,335299.8,223760.3,11153.43,9525.6,1270.401,1453.76,3547.598,5295.36
0.084,566148.8,396947,547056.9,278466.7,20879.12,14532,2710.974,2029.44,4367.218,6742.4
0.08668572,510784.8,385353.9,565384.3,313927,111548,87508.96,11995.81,10175.2,7200.54,6998.88
0.08716571,619669.4,355847.5,491808.6,234615.4,118272.1,79858.24,12312.09,8930.88,7922.495,7829.92
0.08717714,384236.2,261925.4,396737.8,227913.3,1222.618,1478.4,399.7815,512.96,5001.438,4821.6
0.08870857,265757.5,242762.2,170083,107514.4,781.1844,1456,266.4741,476,3047.476,3735.2
0.08940572,239219.8,184272.5,192122.6,137467.7,53446.52,54574.24,5489.496,5484.64,4612.898,6303.36
0.08966857,440238.1,288170.4,520108.5,268182.9,662.0427,1075.2,519.2156,612.64,3458.672,3254.72
0.09054857,530805.9,283504.5,495122.8,240153.8,89289.58,62065.92,10178.92,6619.2,6403.067,6888
0.09115428,428019.1,273738.1,509243.9,309506.4,5254.538,4260.48,888.662,757.12,4523.529,4439.68
0.09131429,255340.2,231616,171349.2,137659.2,44908.33,45698.24,4710.651,5108.32,4994.074,5092.64
0.09549715,368486.6,225973.4,444663.5,246671,5900.747,4268.32,1126.09,1016.96,2581.024,3225.6
0.09552,391522.1,278597.8,345404.7,221285.1,68086.09,62642.72,7471.303,7310.24,4869.322,5007.52
0.09586286,367108.6,267075.2,456983.3,282570.4,2990.715,2303.84,810.3065,658.56,3240.49,4077.92
0.09763429,191631.7,157960.3,191063,140210.6,1789.205,1986.88,453.6936,504,2881.559,3672.48
0.09788571,253456.2,221913.4,182105.4,126853.4,47809.04,48194.72,4969.988,5567.52,4655.742,5415.2
0.09790857,493688.3,290000.5,539020.1,268141.4,88099.13,59390.24,9254.778,6394.08,7609.094,5447.68
0.09867428,387313.4,286526.3,382768.7,198579.4,1310.786,1068.48,417.8786,561.12,4187.569,4704
0.09904,267013,222372.6,220967.1,177325.1,50075.76,53547.2,5285.251,5482.4,4654.616,7548.8
0.09915429,510982.8,432040,261750.3,133957.6,151817.8,146992.2,16260.28,15576.96,5903.421,6494.88
0.09947429,432396.4,296419.2,308221,169598.2,71559.99,60114.88,7597.007,6553.12,4288.473,4174.24
0.09988572,411598.8,234125.9,428985.2,214939.2,115265,73592.96,11283.33,7987.84,6470.972,6888
0.1007886,365654.5,259489.4,255796.1,151158.6,60464.14,57548.96,6144.304,5700.8,4702.474,5602.24
0.1012,552241.3,359571.5,403588.3,190095.4,114199,81443.04,11851.83,8991.36,6270.496,8176
0.1017829,674201.1,366861.6,591482.5,224641.8,92629.14,63742.56,9900.868,7293.44,8284.089,9767.521
0.102,628451.2,346899.8,497481.2,210052.6,113188.8,77467.04,12246.07,9649.92,5541.935,6072.64
0.1022743,294734.1,223521.8,223893.3,158453.1,59729.81,57273.44,6260.327,6956.32,3490.924,3823.68
0.1028229,389834.7,269554.9,308977.3,201638.1,14070.3,13715.52,1644.157,1607.2,3263.579,7118.72
0.1063429,325293.6,220952.5,371362.9,260052.8,2895.432,3517.92,650.0321,741.44,2582.443,5421.92
0.1081371,513963.3,297044.2,495799.6,251004.3,97350.63,66577.28,10283.42,7309.12,4839.269,5809.44
0.1082171,518377,295636.3,528287.8,234185.3,26387.65,18698.4,3268.669,2269.12,4431.787,5126.24
0.1083543,373039.7,301657.4,399942.2,258726.7,658.7936,1162.56,656.4977,819.84,3588.709,4630.08
0.1084229,486481.9,324634.3,511887.1,274529.9,4001.714,2951.2,801.35,883.68,4285.505,5409.6
0.10952,653677.4,548972.5,533732.6,271755.7,120760.5,88982.88,12684.6,9065.28,6725.175,6209.28
0.1101143,417927.2,296326.3,291874.5,158094.7,69048.73,58858.24,6935.831,6284.32,2818.214,3401.44
0.1128686,344572.5,287406.6,247916,167589,106901.3,110473.4,10728.72,11699.52,6056.169,4401.6
0.11296,636450.5,312090.3,575740.9,219552.5,147911.1,85156.96,15089.44,8201.76,5558.429,9971.36
0.11312,404455.1,271547.4,430233.7,269365.6,5476.825,5275.2,848.1467,708.96,4157.851,4056.64
0.1137143,271604.8,250499.2,188225.9,135126.9,40998.51,42898.24,4404.994,4855.2,3770.762,4410.56
0.1143543,523559.1,264547.4,463014.4,185955.8,246559.1,151620,25402.24,15886.08,10288.3,7370.72
