TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.09636571,247531.3,209223.8,259257.4,170232.2,274.3692,472.64,466.5273,620.48,245.6803,415.52
0.09861714,278657.3,254001.4,179764.5,132077.1,372.6413,528.64,296.8524,456.96,177.4617,348.32
0.09862857,479891.7,342880.2,282101.9,160557.6,439.9936,713.44,466.6897,397.6,413.579,682.08
0.09973715,282291.5,254130.2,215652.3,139174.6,-62.73864,244.16,307.65,471.52,86.53233,390.88
0.09997714,271014.7,288601.6,79688.74,58925.44,69.64823,535.36,114.9071,225.12,392.5795,721.28
0.1004,291097,293089.4,148411.8,114983.7,358.4864,828.8,254.1494,441.28,259.6945,579.04
0.10096,349773.3,241178.6,308618.2,169624,474.2816,733.6,425.3513,580.16,225.0707,366.24
0.1010971,270475.9,274630.7,164138.5,129647.8,400.1064,505.12,139.8705,352.8,261.6006,607.04
0.10144,302136,252833.3,361421.5,227289.4,646.5123,785.12,501.7359,622.72,382.2585,414.4
0.1025714,310359.8,325845,106043.2,65778.72,34.36384,408.8,157.361,256.48,281.8203,602.56
0.1032343,377231.8,282657.8,265779.7,168940.8,213.7208,389.76,497.7071,595.84,363.3925,713.44
0.10744,395906.8,424598.7,267387.1,250941.6,420.402,509.6,395.1679,568.96,818.5048,1333.92
0.10776,248479.8,234696,208751,181016.6,524.0783,510.72,380.439,389.76,384.7927,445.76
0.1087771,307236.8,311449.6,178808.4,132345.9,244.1425,443.52,117.2248,337.12,426.8892,758.24
0.1097257,565520.5,422791,423291.2,246084.2,547.8179,730.24,410.0159,458.08,837.3708,553.28
0.1111314,483452.3,344340.7,358499.1,216305.6,380.1791,545.44,392.9694,636.16,261.8388,493.92
0.1112571,223633.9,218398.9,183255.1,143887.5,181.198,473.76,293.0511,368.48,148.3937,421.12
0.1115086,458480.4,331274.7,285037.1,167309,145.1555,621.6,246.3193,370.72,288.5674,667.52
0.1115886,463518.9,349597.9,269659.1,155974.6,96.78841,374.08,251.5069,336,554.0235,940.8
0.1116,282155.3,276029.6,168507.4,126926.2,-10.03948,281.12,216.6124,340.48,130.0801,527.52
0.1120343,441064.3,306681.8,293034.7,156112.3,583.9362,738.08,374.7424,451.36,563.1749,603.68
0.11432,501483.9,340697.3,431931.9,248805.8,321.7725,385.28,556.2653,499.52,491.8697,654.08
0.1146857,284986.6,284471,132492.4,90530.72,329.3318,481.6,124.1019,254.24,279.0586,548.8
0.1151657,431837.8,263841.8,296455.8,155062.9,406.2362,533.12,373.4427,486.08,278.9287,440.16
0.1179886,355437.7,247699.2,283831.1,172293,268.8242,837.76,388.6807,446.88,375.1647,581.28
0.1189029,281648.4,232323.8,241022.9,153746.9,388.6482,833.28,336.0248,652.96,360.6741,543.2
0.1194171,502929.9,364437.9,520298.3,273496.2,402.1966,565.6,711.5795,779.52,501.4543,1126.72
0.1238514,375073.3,261596.2,335829.3,226719.4,366.6523,872.48,481.0287,695.52,413.0484,611.52
0.1250971,238190.4,205950.1,251181.6,160674.1,-12.49791,350.56,508.1689,564.48,245.5395,621.6
0.1265371,401004.9,282897.4,292550.5,178543.7,442.5278,739.2,224.9191,273.28,209.5945,489.44
0.1272914,499025.5,344426.9,318517.8,168968.8,321.166,1015.84,382.735,433.44,241.7707,367.36
0.12784,279481.1,275998.3,155025.3,123235.8,45.45384,389.76,119.2283,281.12,241.1317,437.92
0.1278971,280123.1,242294.1,204012,141897.3,332.8083,636.16,256.9436,357.28,321.1552,655.2
0.1284457,267061.6,209177.9,239106.7,167475.8,379.7892,484.96,445.766,592.48,251.8643,509.6
0.1288686,401692,269955.8,368969.7,202126.4,253.0664,463.68,363.1109,610.4,382.8433,507.36
0.1290743,465457.5,301291.2,350516.2,181918.2,390.6193,598.08,561.4204,557.76,343.8117,660.8
0.1293143,526980.4,333664.8,395037.8,178104.6,370.9843,875.84,511.8403,701.12,447.2389,500.64
0.1298857,421601,300548.7,356136.9,221373.6,55.51498,338.24,358.129,372.96,145.448,300.16
0.1304114,228563.7,204489.6,259585.8,182239.7,631.426,725.76,205.5332,435.68,153.4406,365.12
0.13256,392651.4,255846.1,365355.8,219600.6,281.3546,403.2,473.7401,556.64,141.0076,349.44
0.1326286,311410.5,324255.7,144581,108474.2,110.4668,444.64,117.149,211.68,156.6679,512.96
0.1330743,349193.9,319728.7,200059,135274.7,78.45309,405.44,179.2811,300.16,228.5255,620.48
0.1333257,350217.7,240947.8,396075.9,265886.9,242.6262,426.72,528.1721,477.12,291.1883,383.04
0.13368,310809.7,310789.9,139701.6,94349.92,35.29522,467.04,144.4733,252,353.7104,612.64
0.1338743,337012.4,255171.8,317797.6,190375.4,432.7591,670.88,343.7142,546.56,646.3499,907.2
0.1345257,341514.4,312813.8,249473.7,194637,-129.9068,288.96,233.5181,409.92,82.92591,358.4
0.1349257,280339.9,291220.2,145881.5,115094.6,371.515,667.52,102.5284,332.64,81.88622,281.12
0.1364343,253974.7,245500.6,155666.1,111825.3,214.3489,534.24,177.4725,318.08,177.7649,409.92
0.1368686,258283.4,232921.9,189655.4,129115.8,172.7614,656.32,294.968,425.6,172.3065,379.68
0.13712,246679.9,266151.2,104664.7,88992.96,158.1083,529.76,245.2904,420,49.77504,268.8
0.1385143,214495.7,191803.4,210464,149597.3,213.071,380.8,248.9943,332.64,184.4796,645.12
0.1392571,316991.8,307531.8,165031.2,110725.4,257.2469,443.52,168.8951,210.56,410.1459,492.8
0.1396571,297447.5,288928.7,173296.6,107898.6,362.0062,544.32,153.4839,551.04,103.0915,601.44
0.1412457,340725.4,283393.6,189217.3,145859.8,442.7769,747.04,256.8461,432.32,306.9244,632.8
0.14152,262269.2,277596.5,124153.5,103432,-203.9629,574.56,121.0803,236.32,69.05258,548.8
