TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.0612,275078,262101.3,175843.3,122949.1,386.0056,1019.2,157.556,337.12,3294.217,4548.32
0.06317715,401251.1,270860.8,302408.9,176519.8,682.6631,1330.56,381.6411,412.16,6369.234,7053.76
0.06333714,352293.6,225280.2,419086.4,230642.7,1246.943,1990.24,625.9568,667.52,22246.94,17775.52
0.06437714,311265,244404.2,220385.8,143543.7,171.6459,1506.4,291.6973,388.64,3992.844,3665.76
0.06513143,222877.9,178580.6,185357.5,131017.6,1633.338,2812.32,338.1259,533.12,2861.285,4137.28
0.06523429,263160.9,196731.4,340015.2,222549.6,1336.009,1392.16,426.2935,575.68,9007.073,13577.76
0.06534857,395342.4,258633.8,433895.7,239957.8,964.0069,1314.88,537.4643,607.04,7665.454,7285.6
0.06684572,250823.1,191356.5,288776.6,218533.3,1346.46,1545.6,307.6825,424.48,9246.017,8945.44
0.06685714,280619.5,221797,203105.1,133726.9,75.8647,1061.76,285.3184,365.12,3655.725,6538.56
0.06724571,353124.3,202093.9,383259.3,189657.4,-53.89047,1431.36,403.6154,437.92,7927.455,7166.88
0.06737143,401744.1,249670.4,365140.2,178797.9,1135.685,1450.4,216.634,291.2,19016.24,14739.2
0.06746285,281611.2,272370.6,164057.3,100539,818.2665,1193.92,234.5037,385.28,3944.141,6192.48
0.068,251061.1,221895.5,207472.3,144487.8,1079.824,1818.88,133.0258,297.92,5408.227,5950.56
0.06882286,469005.8,322078.4,360535.9,194821.8,976.4615,1401.12,547.4604,682.08,5203.279,6515.04
0.07070857,427931.9,297299.5,330749.8,173099.4,552.7022,1051.68,304.9967,423.36,4900.134,6185.76
0.07102857,392425.4,266943,350804,216613.6,815.8406,2010.4,381.3379,417.76,17056.99,14379.68
0.07178286,297242.3,239596,315261,242406.1,1647.612,2354.24,345.9777,350.56,3468.376,3160.64
0.07282285,249874.6,225773,222911.2,156206.4,646.2416,1719.2,510.3133,483.84,3193.389,4534.88
0.07338285,274485.3,224812,219212,141872.6,829.5732,1401.12,357.7067,333.76,4988.691,5601.12
0.07492571,272616.9,215396.2,257229.7,173687.4,648.5376,1616.16,246.3951,327.04,4755.769,4431.84
0.07525714,264806,239814.4,197165.6,151895.5,1132.675,1535.52,273.2754,372.96,4589.614,7254.24
0.07634286,307926.9,223013.3,356689.1,229826.2,541.8613,1223.04,495.4761,564.48,4320.812,3419.36
0.07643428,414279.4,255479.8,405686.5,192828.2,1688.258,2068.64,387.6302,560,31220.45,20746.88
0.07667428,226277.2,178029.6,251078.3,159728.8,230.3233,943.04,167.942,339.36,11014.92,12755.68
0.07732572,416367.3,268384.5,379770.3,176767.4,870.9657,1909.6,489.0755,478.24,13708.31,10458.56
0.07789715,403670,278363.7,437161.7,232784.2,805.5087,1626.24,467.4262,462.56,6305.802,5466.72
0.07854857,345305.9,284831.7,423237,246070.7,1530.117,1553.44,406.9835,430.08,7766.639,11650.24
0.07931428,387167.7,283103.5,355779.6,189289,1298.581,2017.12,502.5698,439.04,8015.503,8793.12
0.07933714,430777.4,263182.1,455943.5,201561.9,1423.235,1435.84,503.8044,537.6,8681.824,7857.92
0.08115429,482473.2,312394.9,406607.1,197779.7,1600.566,2104.48,539.7603,557.76,10399.52,8674.4
0.08124571,267472.1,204200.6,250448.6,192119.2,950.0037,1137.92,300.9029,459.2,5243.902,6119.68
0.08204571,466958.4,311624.3,412728.1,216253,404.1677,1374.24,317.6245,328.16,9925.269,12659.36
0.08267429,426779.8,264732.2,400064.8,190376.5,1106.769,2517.76,508.2772,443.52,6047.516,7629.44
0.08412571,388604.2,265584.5,475866.4,251986.6,481.4295,937.44,426.5751,573.44,7088.113,6553.12
